date,zone,population,temperature,rainfall,industrial_index,water_demand,month,day,dayofweek,year,water_demand_lag_1,water_demand_lag_7,water_demand_lag_14,temperature_lag_1,demand_roll_mean_7,demand_roll_std_7,month_sin,month_cos,dow_sin,dow_cos,day_sin,day_cos,zone_encoded
2023-01-18,Central Delhi,32000000.0,33.964490791004266,11.885686368828111,75.01881693226376,4815319384.3829565,1,18,2,2023,4817502289.067346,4818358794.04215,4816297748.223008,32.20925547404934,4818391516.9521885,1528684.707759604,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.4853019625310808,-0.8743466161445822,0
2023-01-19,Central Delhi,32000000.0,35.71972610795919,8.676293364588808,67.72226512651196,4813136479.698566,1,19,3,2023,4815319384.3829565,4818653229.159169,4816592183.340029,33.964490791004266,4817603409.886389,2490662.416638227,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.651372482722222,-0.7587581226927911,0
2023-01-20,Central Delhi,32000000.0,35.0969510000942,9.259378811553752,69.736304472382,4813569418.118239,1,20,4,2023,4813136479.698566,4818947664.27619,4816886618.457048,35.71972610795919,4816835089.006681,2815263.3548666704,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.7907757369376986,-0.6121059825476627,0
2023-01-21,Central Delhi,32000000.0,34.47417589222922,9.842464258518696,71.75034381825205,4814002356.537911,1,21,5,2023,4813569418.118239,4819193507.434705,4817181053.574069,35.0969510000942,4816093496.021425,2773889.003157096,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8978045395707417,-0.44039415155763423,0
2023-01-22,Central Delhi,32000000.0,33.85140078436423,10.42554970548364,73.76438316412211,4814435294.957584,1,22,6,2023,4814002356.537911,4819439350.593221,4817475488.691089,34.47417589222922,4815378630.93062,2385526.653143322,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.9680771188662041,-0.2506525322587213,0
2023-01-23,Central Delhi,32000000.0,33.22862567649925,11.008635152448583,75.77842250999215,4814868233.377256,1,23,0,2023,4814435294.957584,4819685193.751736,4817769923.808109,33.85140078436423,4814690493.734266,1445897.4837068173,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.9987165071710528,-0.05064916883871355,0
2023-01-24,Central Delhi,32000000.0,32.60585056863426,11.591720599413527,77.7924618558622,4815301171.796929,1,24,1,2023,4814868233.377256,4817502289.067346,4818064358.925129,33.22862567649925,4814376048.409921,848363.2150008058,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-0.9884683243281114,0.15142777750457667,0
2023-01-25,Central Delhi,32000000.0,32.461809197866835,10.858585866837482,74.0944372456214,4816126694.07965,1,25,2,2023,4815301171.796929,4815319384.3829565,4818358794.04215,32.60585056863426,4814491378.366591,1032802.9319915936,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.9377521321470804,0.3473052528448203,0
2023-01-26,Central Delhi,32000000.0,32.317767827099416,10.125451134261436,70.39641263538063,4816952216.362371,1,26,3,2023,4816126694.07965,4813136479.698566,4818653229.159169,32.461809197866835,4815036483.604278,1193041.3919745989,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8486442574947509,0.5289640103269624,0
2023-01-27,Central Delhi,32000000.0,32.17372645633199,9.39231640168539,66.69838802513983,4817777738.645092,1,27,4,2023,4816952216.362371,4813569418.118239,4818947664.27619,32.317767827099416,4815637672.250971,1376728.6172833352,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.72479278722912,0.6889669190756865,0
2023-01-28,Central Delhi,32000000.0,31.28345456223269,9.149804103938298,65.93665338031833,4816958370.862236,1,28,5,2023,4817777738.645092,4814002356.537911,4819193507.434705,32.17372645633199,4816059960.011588,1237873.767456204,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.5712682150947924,0.8207634412072763,0
2023-01-29,Central Delhi,32000000.0,30.393182668133388,8.907291806191207,65.17491873549685,4816139003.07938,1,29,6,2023,4816958370.862236,4814435294.957584,4819439350.593221,31.28345456223269,4816303346.88613,1012096.8216948645,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.3943558551133187,0.9189578116202306,0
2023-01-30,Central Delhi,32000000.0,29.50291077403409,8.664779508444116,64.41318409067534,4815319635.296524,1,30,0,2023,4816139003.07938,4814868233.377256,4819685193.751736,30.393182668133388,4816367832.874598,915156.4955536205,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.20129852008866114,0.9795299412524943,0
2023-01-31,Central Delhi,32000000.0,28.61263887993479,8.422267210697024,63.65144944585385,4814500267.513669,1,31,1,2023,4815319635.296524,4815301171.796929,4817502289.067346,29.50291077403409,4816253417.976989,1101776.4148022232,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,0
2023-02-01,Central Delhi,32000000.0,27.722366985835485,8.179754912949932,62.88971480103235,4813680899.730813,2,1,2,2023,4814500267.513669,4816126694.07965,4815319384.3829565,28.61263887993479,4815904018.784298,1473697.1771172835,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.20129852008866006,0.9795299412524945,0
2023-02-02,Central Delhi,32000000.0,26.832095091736186,7.937242615202841,62.12798015621085,4812861531.947957,2,2,3,2023,4813680899.730813,4816952216.362371,4813136479.698566,27.722366985835485,4815319635.296525,1770036.7124348753,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.39435585511331855,0.9189578116202306,0
2023-02-03,Central Delhi,32000000.0,36.60095771934275,0.1626828347742304,68.07040238815462,4818782468.781913,2,3,4,2023,4812861531.947957,4817777738.645092,4813569418.118239,26.832095091736186,4815463168.173213,2024965.499650928,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,0
2023-02-04,Central Delhi,32000000.0,36.6511296225711,0.3911066760291856,68.72237021883754,4818647621.808539,2,4,5,2023,4818782468.781913,4816958370.862236,4814002356.537911,36.60095771934275,4815704489.736971,2313020.1340456116,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866,0
2023-02-05,Central Delhi,32000000.0,36.701301525799444,0.6195305172841408,69.37433804952047,4818512774.835165,2,5,6,2023,4818647621.808539,4816139003.07938,4814435294.957584,36.6511296225711,4816043599.987798,2549283.0971179386,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624,0
2023-02-06,Central Delhi,32000000.0,36.75147342902779,0.8479543585390961,70.02630588020341,4818377927.861792,2,6,0,2023,4818512774.835165,4815319635.296524,4814868233.377256,36.701301525799444,4816480498.925693,2664015.228656289,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9377521321470804,0.3473052528448203,0
2023-02-07,Central Delhi,32000000.0,36.801645332256136,1.0763781997940511,70.67827371088633,4818243080.888417,2,7,1,2023,4818377927.861792,4814500267.513669,4815301171.796929,36.75147342902779,4817015186.550656,2574425.682465259,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9884683243281114,0.1514277775045767,0
2023-02-08,Central Delhi,32000000.0,36.851817235484475,1.3048020410490064,71.33024154156925,4818108233.915044,2,8,2,2023,4818243080.888417,4813680899.730813,4816126694.07965,36.801645332256136,4817647662.862689,2123013.0127592757,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.9987165071710528,-0.05064916883871264,0
2023-02-09,Central Delhi,32000000.0,36.90198913871282,1.5332258823039617,71.98220937225219,4817973386.94167,2,9,3,2023,4818108233.915044,4812861531.947957,4816952216.362371,36.851817235484475,4818377927.861792,291302.75612970645,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9680771188662043,-0.2506525322587204,0
2023-02-10,Central Delhi,32000000.0,36.95216104194117,1.7616497235589168,72.63417720293512,4817838539.968296,2,10,4,2023,4817973386.94167,4818782468.781913,4817777738.645092,36.90198913871282,4818243080.888417,291302.75612816133,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,0
2023-02-11,Central Delhi,32000000.0,37.00233294516951,1.990073564813872,73.28614503361804,4817703692.994923,2,11,5,2023,4817838539.968296,4818647621.808539,4816958370.862236,36.95216104194117,4818108233.915044,291302.7561261379,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626,0
2023-02-12,Central Delhi,32000000.0,37.05250484839786,2.218497406068827,73.93811286430096,4817568846.021548,2,12,6,2023,4817703692.994923,4818512774.835165,4816139003.07938,37.00233294516951,4817973386.94167,291302.75612411456,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,0
2023-02-13,Central Delhi,32000000.0,37.102676751626205,2.4469212473237825,74.5900806949839,4817433999.048175,2,13,0,2023,4817568846.021548,4818377927.861792,4815319635.296524,37.05250484839786,4817838539.968296,291302.75612174167,0.8660254037844386,0.5000000000000001,0.0,1.0,0.48530196253108104,-0.8743466161445821,0
