date,zone,population,temperature,rainfall,industrial_index,water_demand
2023-01-01,South Delhi,32000000,35.66698648252613,18.139960267768604,81.75315249042141,4821178113.860489
2023-01-02,North Delhi,32000000,32.97780949238735,11.099141281950072,80.5768090089199,4817301503.998846
2023-01-03,West Delhi,32000000,40.173796371154594,5.275772194537036,60.485498530749275,4816590105.007816
2023-01-04,Central Delhi,32000000,30.76293241201419,11.465366389305817,72.74875499778439,4816297748.223008
2023-01-05,East Delhi,32000000,31.83472146094181,14.3220318818938,78.11697091973421,4818123975.532505
2023-01-06,West Delhi,32000000,35.671553756198094,11.248275480788703,70.52225030316173,4813152766.588914
2023-01-07,North Delhi,32000000,29.257897593762383,1.0194396008442155,74.47842098344597,4813046906.220466
2023-01-08,West Delhi,32000000,31.23610298147525,5.812302590358645,75.03951731824787,4817388397.0779915
2023-01-09,East Delhi,32000000,35.567406670368776,9.656971423870035,76.3809169782474,4812995740.909025
2023-01-10,East Delhi,32000000,24.757767405703593,10.652702114178437,74.72076069449392,4815656704.902681
2023-01-11,North Delhi,32000000,28.014643685870013,18.022378468383398,70.39311309424012,4820082295.621569
2023-01-12,North Delhi,32000000,44.95604352342243,13.777535465131969,76.31100145708038,4818409380.94824
2023-01-13,Central Delhi,32000000,28.55746951680786,2.9232978678825967,62.132946659460245,4818947664.27619
2023-01-14,South Delhi,32000000,35.64847494157644,23.65586995855201,76.73373599352378,4816494687.346701
2023-01-15,East Delhi,32000000,22.507563279829828,10.401887260430856,83.51812893149427,4821939889.799178
2023-01-16,Central Delhi,32000000,30.454020157094416,18.304472377306716,89.61192054376735,4819685193.751736
2023-01-17,South Delhi,32000000,33.12835909791812,4.22655411815143,79.50262259229237,4818610038.382635
2023-01-18,North Delhi,32000000,24.900147445354648,5.140314887279138,70.51258833765107,4819906473.352439
2023-01-19,Central Delhi,32000000,35.71972610795919,8.676293364588808,67.72226512651196,4813136479.698566
2023-01-20,East Delhi,32000000,45.01518783464623,18.16345026277539,76.02041163936546,4816876230.7040205
2023-01-21,South Delhi,32000000,28.333400392664657,14.285811113334063,67.81613383376803,4815684068.452644
2023-01-22,South Delhi,32000000,33.47174630965702,5.636195786139341,70.1900499819238,4814054119.357175
2023-01-23,North Delhi,32000000,38.71662056342634,12.75514912547888,77.24612438551868,4819690425.608243
2023-01-24,Central Delhi,32000000,32.60585056863426,11.591720599413527,77.7924618558622,4815301171.796929
2023-01-25,North Delhi,32000000,32.00472704674394,3.583965673124297,74.12769086467442,4814737842.681275
2023-01-26,East Delhi,32000000,42.04331834733206,6.264543014679307,80.78254551182005,4820658835.722293
2023-01-27,Central Delhi,32000000,32.17372645633199,9.39231640168539,66.69838802513983,4817777738.645092
2023-01-28,East Delhi,32000000,30.345325317820297,9.778117709981181,67.89589535098864,4815742115.591635
2023-01-29,East Delhi,32000000,32.8674726797707,4.997737731576575,87.89066933558232,4821464960.5072975
2023-01-30,East Delhi,32000000,26.041587171038824,25.724567027272492,67.46466122846911,4813975969.6120405
2023-01-31,North Delhi,32000000,37.1944576248538,6.4071568039547016,64.03829595945759,4818072655.344907
2023-02-01,East Delhi,32000000,30.49756934747057,1.950492426784134,67.56447525415757,4816111771.663191
2023-02-02,Central Delhi,32000000,26.832095091736186,7.937242615202841,62.12798015621085,4812861531.947957
2023-02-03,Central Delhi,32000000,36.60095771934275,0.1626828347742304,68.07040238815462,4818782468.781913
2023-02-04,South Delhi,32000000,33.69250251981968,15.255330088023692,75.37327033179984,4816661590.410213
2023-02-05,North Delhi,32000000,36.25977436462975,22.68866719243676,87.80894652003195,4820929585.428207
2023-02-06,North Delhi,32000000,26.459929228680053,11.420003143459152,84.05139508569118,4818451113.145388
2023-02-07,South Delhi,32000000,34.24090427518904,13.507618005868213,68.25855226707432,4812255206.488963
2023-02-08,West Delhi,32000000,29.27945422648791,12.609345163759553,67.02317364506784,4814285822.8333025
2023-02-09,South Delhi,32000000,36.66670794353028,10.362941799367176,79.46861040125731,4818884850.0176
2023-02-10,West Delhi,32000000,35.58976418700682,16.357613110207325,75.18521902604729,4820032312.917005
2023-02-11,West Delhi,32000000,25.290906154989024,0.0,83.49129490829459,4818636649.649161
2023-02-12,West Delhi,32000000,36.776893658075544,10.438935165780636,79.48806329183292,4818237608.551576
2023-02-13,Central Delhi,32000000,37.102676751626205,2.4469212473237825,74.5900806949839,4817433999.048175
2023-02-14,North Delhi,32000000,29.00783997571664,0.0,75.00947131778162,4816817383.446186
2023-02-15,East Delhi,32000000,29.219365998702465,4.488489576323083,89.69417103037335,4822652458.765917
2023-02-16,Central Delhi,32000000,34.71049989546236,11.059295182571537,86.56203548213607,4816441020.632009
2023-02-17,East Delhi,32000000,31.400869980009844,8.5883704286344,61.224215631120444,4815666468.46194
2023-02-18,Central Delhi,32000000,31.103566212420734,5.768010350952467,72.40887541908103,4815885930.960538
2023-02-19,East Delhi,32000000,21.84352992494548,9.671791660068841,83.69086978135884,4819641693.370536
2023-02-20,West Delhi,32000000,35.1216713921308,5.59188323770564,77.74875508985077,4817562840.721138
2023-02-21,South Delhi,32000000,28.60827537273574,14.22527930999306,74.84647202343216,4816752635.07136
2023-02-22,West Delhi,32000000,34.27584189271379,9.547466117271727,84.81755541491333,4819118275.337665
2023-02-23,East Delhi,32000000,29.25656032857843,9.205892225002088,65.95097468342789,4816080992.659903
2023-02-24,West Delhi,32000000,36.56351373518025,19.79849262041043,61.66532067211062,4819068638.40006
2023-02-25,West Delhi,32000000,29.655888060679466,0.0,60.62198292595694,4814588837.526841
2023-02-26,Central Delhi,32000000,24.036148342180574,9.869025524776585,68.26673764216173,4813922691.601139
2023-02-27,West Delhi,32000000,32.12354410301568,13.757295057397666,60.26431931166539,4813707435.523587
2023-02-28,East Delhi,32000000,30.312825088839634,17.22092586888468,86.95914957633198,4824849651.250784
2023-03-01,North Delhi,32000000,28.008999239251587,4.387008377085013,75.49703678207682,4817912148.958249
2023-03-02,Central Delhi,32000000,33.46832711963338,0.0,88.37106622495295,4821894853.610181
2023-03-03,North Delhi,32000000,40.007834399181505,4.996436071725045,76.67529083294988,4819451205.668832
2023-03-04,North Delhi,32000000,24.535232567869798,9.998535946391323,72.48081493225934,4815709475.1122055
2023-03-05,North Delhi,32000000,26.126417493729566,16.12011886175673,71.1275282350852,4818495308.363472
